image,label
labeled-images/lower-gi-tract/anatomical-landmarks/cecum/da56ff3a-b29b-4d11-a76c-7c2b333b2e62.jpg,0
labeled-images/lower-gi-tract/anatomical-landmarks/cecum/4eb3ee92-aa4f-4d12-b991-f24a799554fb.jpg,0
labeled-images/lower-gi-tract/anatomical-landmarks/cecum/178744e1-0883-4df9-8ec7-e13f133a98a1.jpg,0
labeled-images/lower-gi-tract/anatomical-landmarks/cecum/92af4a2a-33b8-4efd-993c-97389858b051.jpg,0
labeled-images/lower-gi-tract/anatomical-landmarks/cecum/50b471ef-8721-4809-92e0-5ab6862316a5.jpg,0
labeled-images/lower-gi-tract/anatomical-landmarks/cecum/d475b8aa-1345-48fe-bd2b-cde3f3181577.jpg,0
labeled-images/lower-gi-tract/anatomical-landmarks/cecum/8e3d88e0-4d3c-417d-b507-fa0a23d1b863.jpg,0
labeled-images/lower-gi-tract/anatomical-landmarks/cecum/69c1057e-7609-4618-bede-6ff6c7eca7f1.jpg,0
labeled-images/lower-gi-tract/anatomical-landmarks/cecum/2b8c458d-0bb7-42aa-8ecd-762f892fb7dd.jpg,0
labeled-images/lower-gi-tract/anatomical-landmarks/cecum/1144571d-9046-422e-9fb8-2d45321350f4.jpg,0
labeled-images/lower-gi-tract/anatomical-landmarks/cecum/76c30a04-0f96-4299-93e0-8a36fd79f295.jpg,0
labeled-images/lower-gi-tract/anatomical-landmarks/cecum/32a98dfc-324b-4a30-ab06-dbf9f2935899.jpg,0
labeled-images/lower-gi-tract/anatomical-landmarks/cecum/768fa8c5-9686-4b20-ba6a-0450c92bc180.jpg,0
labeled-images/lower-gi-tract/anatomical-landmarks/cecum/e606be8c-2062-43f6-916a-ee20e31c8a73.jpg,0
labeled-images/lower-gi-tract/anatomical-landmarks/cecum/0901cb71-3f85-4d4a-b5e4-67f7b614f692.jpg,0
labeled-images/lower-gi-tract/anatomical-landmarks/cecum/ffc4d285-450b-4077-b7a8-5f29bbdb01ce.jpg,0
labeled-images/lower-gi-tract/anatomical-landmarks/cecum/a98ab988-41b4-4fdb-9997-18bb55feeac7.jpg,0
labeled-images/lower-gi-tract/anatomical-landmarks/cecum/c5f73b4d-93ef-49a7-931f-ed30edb7e719.jpg,0
labeled-images/lower-gi-tract/anatomical-landmarks/cecum/38164381-6a43-42ea-9723-2eb534de5ca7.jpg,0
labeled-images/lower-gi-tract/anatomical-landmarks/cecum/ddf4bcd1-0ce5-4e2e-8a2f-5d75d91f0f5d.jpg,0
labeled-images/lower-gi-tract/anatomical-landmarks/cecum/2f1e33ba-7b21-47bf-87be-f8a767a6f273.jpg,0
labeled-images/lower-gi-tract/anatomical-landmarks/cecum/4f89a654-efa2-48d4-9e2c-4cdd83c125a9.jpg,0
labeled-images/lower-gi-tract/anatomical-landmarks/cecum/af27267a-248c-484f-95ff-409cff9779cc.jpg,0
labeled-images/lower-gi-tract/anatomical-landmarks/cecum/2383583a-ba1a-4c3b-b4a4-f81d06a3c2dd.jpg,0
labeled-images/lower-gi-tract/anatomical-landmarks/cecum/d7001a98-4ffd-4c5a-a436-ff19065d465f.jpg,0
labeled-images/lower-gi-tract/anatomical-landmarks/cecum/2b6ff87e-674f-4434-a6b9-4fa40571547e.jpg,0
labeled-images/lower-gi-tract/anatomical-landmarks/cecum/e4cee2d5-0110-4e27-9a74-b2c401765a3a.jpg,0
labeled-images/lower-gi-tract/anatomical-landmarks/cecum/80afbf5a-550e-4da9-918f-3569fb8a6d6b.jpg,0
labeled-images/lower-gi-tract/anatomical-landmarks/cecum/4d9114a9-1f09-44c2-8a15-da5c626f7eb8.jpg,0
labeled-images/lower-gi-tract/anatomical-landmarks/cecum/006af0aa-2044-4477-964d-10d9e043fb78.jpg,0
labeled-images/lower-gi-tract/anatomical-landmarks/cecum/19e0df52-2e0a-4dd0-87df-93225c678374.jpg,0
labeled-images/lower-gi-tract/anatomical-landmarks/cecum/a4e811e0-860e-4e55-b06c-ea91adc9d8dd.jpg,0
labeled-images/lower-gi-tract/anatomical-landmarks/cecum/9cd1c829-1c77-4bff-903c-c6aafd94ed4b.jpg,0
labeled-images/lower-gi-tract/anatomical-landmarks/cecum/ee1ef9df-1b35-49be-9a52-0c051b4a19aa.jpg,0
labeled-images/lower-gi-tract/anatomical-landmarks/cecum/26baa776-7bed-4157-a05d-dedb6bb36012.jpg,0
labeled-images/lower-gi-tract/anatomical-landmarks/cecum/6f6618c3-289d-44ec-b624-b0a63e18b19a.jpg,0
labeled-images/lower-gi-tract/anatomical-landmarks/cecum/0bb3bade-c072-4926-a62c-ac9baeeff21d.jpg,0
labeled-images/lower-gi-tract/anatomical-landmarks/cecum/a8cfccb8-1931-4e6b-848c-5f874fd02635.jpg,0
labeled-images/lower-gi-tract/anatomical-landmarks/cecum/1446309d-0de6-453c-bfec-d19b95be7464.jpg,0
labeled-images/lower-gi-tract/anatomical-landmarks/cecum/babfd16a-3a2e-4d08-b80b-2f2da9949893.jpg,0
